combo_id,subject_id,required_score,remark
0,4,13,社=13
1,1,12,英=12
2,0,15,國=15
3,1,15,英=15
4,0,13,國=13
5,1,13,英=13
6,4,14,社=14
7,0,13,國=13
8,1,14,英=14
9,1,14,英=14
10,44,53,國+英+數B+社=53
11,23,40,國+英+社=40
12,0,14,國=14
13,1,14,英=14
14,23,41,國+英+社=41
15,4,14,社=14
16,6,27,國+英=27
17,5,13,自=13
18,2,14,數A=14
19,5,14,自=14
20,2,15,數A=15
21,2,11,數A=11
22,5,14,自=14
23,1,14,英=14
24,43,47,國+英+數A+自=47
25,2,10,數A=10
26,5,13,自=13
27,33,41,英+數A+自=41
28,32,33,英+數A+社=33
29,4,13,社=13
30,2,9,數A=9
31,1,13,英=13
32,43,43,國+英+數A+自=43
33,17,25,數A+自=25
34,9,28,國+社=28
35,1,14,英=14
36,9,29,國+社=29
37,1,15,英=15
38,9,28,國+社=28
39,1,14,英=14
40,20,26,社+自=26
41,2,12,數A=12
42,1,13,英=13
43,2,13,數A=13
44,4,12,社=12
45,2,12,數A=12
46,3,10,數B=10
47,23,42,國+英+社=42
48,28,38,國+數B+社=38
49,1,13,英=13
50,0,14,國=14
51,43,58,國+英+數A+自=58
52,33,44,英+數A+自=44
53,0,14,國=14
54,43,55,國+英+數A+自=55
55,33,41,英+數A+自=41
56,43,59,國+英+數A+自=59
57,33,45,英+數A+自=45
58,17,28,數A+自=28
59,6,27,國+英=27
60,5,14,自=14
61,1,12,英=12
62,5,13,自=13
63,33,41,英+數A+自=41
64,1,13,英=13
65,0,14,國=14
66,17,24,數A+自=24
67,43,51,國+英+數A+自=51
68,33,41,英+數A+自=41
69,1,13,英=13
70,17,27,數A+自=27
71,33,23,英+數A+自=23
72,5,12,自=12
73,2,13,數A=13
74,1,12,英=12
75,2,13,數A=13
76,5,15,自=15
77,33,41,英+數A+自=41
78,0,14,國=14
79,43,16,國+英+數A+自=16
80,5,12,自=12
81,11,23,英+數A=23
82,1,8,英=8
83,2,10,數A=10
84,5,13,自=13
85,43,40,國+英+數A+自=40
86,2,8,數A=8
